team,bbref_id,player_name,age,guaranteed_remaining
MIL,simsje01,Jericho Sims,27,2801346
MIL,nancepe01,Pete Nance,26,2537526
MIL,butlejo01,John Butler,23,
MIL,markobo01,Bogoljub Markovic,21,6346496
MIL,stephja02,Jake Stephens,26,
MIL,joneska03,Kam Jones,24,
MIL,lillada01,Damian Lillard,36,90066412
MIL,micicva01,Vasilije Micić,32,1333334
MIN,edwaran01,Anthony Edwards,25,156896208
MIN,ballla01,LaMelo Ball,25,130746840
MIN,goberru01,Rudy Gobert,34,36500000
MIN,mcdanja02,Jaden McDaniels,25,84020689
MIN,dosunay01,Ayo Dosunmu,26,86510348
MIN,divindo01,Donte DiVincenzo,29,12535000
MIN,kuminjo01,Jonathan Kuminga,23,6064000
MIN,willico04,Cody Williams,21,6015600
MIN,berinjo01,Joan Beringer,19,4411200
MIN,clarkja02,Jaylen Clark,24,10000000
MIN,hylanbo01,Bones Hyland,26,2845883
MIN,shannte01,Terrence Shannon Jr.,26,2801640
MIN,lylestr01,Trey Lyles,30,2449421
MIN,evansis01,Isaiah Evans,20,6346496
MIN,freemen01,Enrique Freeman,26,
MIN,konchjo01,John Konchar,30,6165000
NOP,willizi01,Zion Williamson,26,87053440
NOP,poolejo01,Jordan Poole,27,34044642
NOP,murrade01,Dejounte Murray,30,32785071
NOP,murphtr02,Trey Murphy III,26,87000000
NOP,joneshe01,Herbert Jones,27,58284050
NOP,fearsje01,Jeremiah Fears,19,7896240
NOP,mathube01,Bennedict Mathurin,24,7804878
NOP,beysa01,Saddiq Bey,27,61940678
NOP,queende01,Derik Queen,21,5416080
NOP,jordade01,DeAndre Jordan,38,7946884
NOP,missiyv01,Yves Missi,22,3512760
NOP,johnsaj01,AJ Johnson,21,3237120
NOP,kolokch01,Christian Koloko,26,2625627
NOP,houstca01,Caleb Houstan,23,
NOP,mcgowbr01,Bryce McGowens,23,2584539
NOP,watfotr01,Trendon Watford,25,
NOP,bufkiko01,Kobe Bufkin,23,2449421
NOP,matkoka01,Karlo Matković,25,2296271
NOP,pierrja01,Jaron Pierre Jr.,24,
NOP,diama01,Malik Dia,22,
NOP,gibsota01,Taj Gibson,41,148828
NYK,townska01,Karl-Anthony Towns,30,57078728
NYK,anunoog01,OG Anunoby,29,87931034
NYK,brunsja01,Jalen Brunson,30,78274562
NYK,bridgmi01,Mikal Bridges,30,108482144
NYK,hartjo01,Josh Hart,31,20923760
NYK,shamela01,Landry Shamet,29,24000000
NYK,alvarjo01,Jose Alvarado,28,14580000
NYK,mcbrimi01,Miles McBride,26,3956523
NYK,dadiepa01,Pacôme Dadiet,21,2983680
NYK,wisemja01,James Wiseman,25,
NYK,agbajoc01,Ochai Agbaji,26,
NYK,konchjo01,John Konchar,30,
NYK,eubandr01,Drew Eubanks,29,
NYK,drumman01,Andre Drummond,33,2449421
NYK,clarkjo01,Jordan Clarkson,34,2449421
NYK,brownbr01,Bruce Brown,30,
NYK,kolekty01,Tyler Kolek,25,2296271
NYK,diawamo01,Mohamed Diawara,21,10000000
OKC,holmgch01,Chet Holmgren,24,240700000
OKC,willija06,Jalen Williams,25,240700000
OKC,gilgesh01,Shai Gilgeous-Alexander,28,238462350
OKC,harteis01,Isaiah Hartenstein,28,48148148
OKC,carusal01,Alex Caruso,32,62994960
OKC,willija07,Jaylin Williams,24,7774648
OKC,wallaca01,Cason Wallace,22,7420806
OKC,maraad01,Aday Mara,21,11873160
OKC,topicni01,Nikola Topić,21,5429760
OKC,willike04,Kenrich Williams,31,5000000
OKC,sorbeth01,Thomas Sorber,20,4887720
OKC,stirtbe01,Bennett Stirtz,22,9670560
OKC,mccaija01,Jared McCain,22,4422600
OKC,mitchaj01,Ajay Mitchell,24,
OKC,tillych01,Christoph Tilly,23,
OKC,owehot01,Otega Oweh,23,
OKC,dixjo01,Josh Dix,22,
OKC,barnhbr01,Brooks Barnhizer,24,
ORL,wagnefr01,Franz Wagner,25,185576400
ORL,banchpa01,Paolo Banchero,23,185920000
ORL,banede01,Desmond Bane,28,126499530
ORL,suggsja01,Jalen Suggs,25,88800000
ORL,cartewe01,Wendell Carter Jr.,27,37652160
ORL,isaacjo01,Jonathan Isaac,28,10449421
ORL,blackan01,Anthony Black,22,10106316
ORL,bitadgo01,Goga Bitadze,27,7608696
ORL,dasiltr01,Tristan Da Silva,25,3991200
ORL,richaja02,Jase Richardson,20,3132360
ORL,davisjd01,JD Davison,23,
ORL,cainja01,Jamal Cain,27,2584539
ORL,branhma01,Malaki Branham,23,
ORL,carteje01,Jevon Carter,31,2449421
ORL,vucevni01,Nikola Vučević,35,2449421
ORL,pendano01,Noah Penda,21,2150917
ORL,castlco01,Colin Castleton,26,
ORL,nelsoiz01,Izaiyah Nelson,22,
PHI,embiijo01,Joel Embiid,32,120848000
PHI,brownja02,Jaylen Brown,29,183045576
PHI,maxeyty01,Tyrese Maxey,25,130746840
PHI,edgecvj01,VJ Edgecombe,21,11663880
PHI,wadede01,Dean Wade,29,30000000
PHI,simonan01,Anfernee Simons,27,6000000
PHI,jamesle01,LeBron James,41,3876529
PHI,philola01,Labaron Philon Jr.,20,7373880
PHI,barlodo01,Dominick Barlow,23,3415000
PHI,hukpoar01,Ariel Hukporti,24,3400000
PHI,walkeja01,Jabari Walker,24,
PHI,jonesdi01,Dillon Jones,24,
PHI,caldwke01,Kentavious Caldwell-Pope,33,2449421
PHI,edwarju01,Justin Edwards,22,2411090
PHI,bonaad01,Adem Bona,23,
PHI,nelsoja02,Jameer Nelson Jr.,25,
PHI,fallta01,Tacko Fall,30,
PHI,thomasa03,Saint Thomas,23,
PHI,loveca01,Caleb Love,24,
PHI,milesdu01,Duke Miles,24,
PHI,ruperra01,Rayan Rupert,22,
PHO,bookede01,Devin Booker,29,182159872
PHO,greenja05,Jalen Green,24,36251166
PHO,bridgmi02,Miles Bridges,28,22826087
PHO,brookdi01,Dillon Brooks,30,92992726
PHO,willima07,Mark Williams,24,38000000
PHO,gilleco01,Collin Gillespie,27,48000000
PHO,maluakh01,Khaman Maluach,20,6316680
PHO,kennalu01,Luke Kennard,30,6064000
PHO,goodwjo01,Jordan Goodwin,27,12197531
PHO,highsha01,Haywood Highsmith,29,1000000
PHO,peatko01,Koa Peat,19,5999880
PHO,dunnry01,Ryan Dunn,23,2784240
PHO,bouyeja01,Jamaree Bouyea,27,2584539
PHO,ighodos01,Oso Ighodaro,24,
PHO,flemira01,Rasheer Fleming,22,4676818
PHO,spencpa01,Pat Spencer,30,
PHO,breako01,Koby Brea,23,
PHO,bealbr01,Bradley Beal,33,77532040
PHO,littlna01,Nassir Little,26,9321429
PHO,liddeej01,E.J. Liddell,25,706898
POR,moranja01,Ja Morant,27,87053440
POR,holidjr01,Jrue Holiday,36,34800000
POR,sharpsh01,Shaedon Sharpe,23,90000000
POR,camarto01,Toumani Camara,26,81000000
POR,williro04,Robert Williams,28,18968254
POR,hendesc01,Scoot Henderson,22,13585523
POR,lillada01,Damian Lillard,36,13398800
POR,avdijde01,Deni Avdija,25,25000000
POR,clingdo01,Donovan Clingan,22,7519920
POR,yangha01,Yang Hansen,21,4643520
POR,pottemi01,Micah Potter,28,2801346
POR,krejcvi01,Vít Krejčí,26,
POR,cissosi01,Sidy Cissoko,22,
POR,sochaje01,Jeremy Sochan,23,2449421
POR,carlsbr01,Branden Carlson,27,2449421
POR,tonjejo01,John Tonje,25,
POR,louzama01,Didi Louzada,27,804096
SAC,lavinza01,Zach LaVine,31,48967380
SAC,sabondo01,Domantas Sabonis,30,94080000
SAC,huntede01,De'Andre Hunter,28,24910714
SAC,murrake02,Keegan Murray,26,140000000
SAC,monkma01,Malik Monk,28,20190035
SAC,acuffda01,Darius Acuff Jr.,19,16444560
SAC,achiupr01,Precious Achiuwa,27,11227850
SAC,cliffni01,Nique Clifford,24,3263400
SAC,karabal01,Alex Karaban,23,6043920
SAC,simmobe01,Ben Simmons,30,
SAC,plowdda01,Daeqwon Plowden,28,5113822
SAC,raynama01,Maxime Raynaud,23,2150917
SAC,sharpem01,Emanuel Sharp,22,3652133
SAC,paytoel01,Elfrid Payton,32,
SAC,mogbojo01,Jonathan Mogbo,24,
SAC,hayeski01,Killian Hayes,25,
SAC,flaglad01,Adam Flagler,26,
SAS,foxde01,De'Aaron Fox,28,223104000
SAS,vassede01,Devin Vassell,26,78652174
SAS,johnske04,Keldon Johnson,26,17500000
SAS,wembavi01,Victor Wembanyama,22,211748246
SAS,harrito02,Tobias Harris,34,30840200
SAS,champju02,Julian Champagnie,25,45000000
SAS,harpedy01,Dylan Harper,20,12989040
SAS,kornelu01,Luke Kornet,31,13000000
SAS,castlst01,Stephon Castle,21,10015920
SAS,barneha02,Harrison Barnes,34,8000000
SAS,bryanca01,Carter Bryant,20,5145360
SAS,quainja01,Jayden Quaintance,19,8000640
SAS,reedjta01,Tarris Reed Jr.,23,6307440
SAS,mclaujo01,Jordan McLaughlin,30,2449421
SAS,peterta01,Taelon Peter,24,
SAS,nunnja01,Jayden Nunn,23,
SAS,gilleja02,Ja'Kobi Gillespie,22,
SAS,jonesda06,David Jones García,24,
SAS,brownma05,Maliq Brown,22,
TOR,leonaka01,Kawhi Leonard,35,50300000
TOR,barnesc01,Scottie Barnes,25,185576400
TOR,quickim01,Immanuel Quickley,27,97500000
TOR,barrerj01,RJ Barrett,26,29616071
TOR,poeltja01,Jakob Poeltl,30,76284000
TOR,murraco01,Collin Murray-Boyles,21,6649560
TOR,graveal01,Allen Graves,20,8334600
TOR,walteja01,Ja'Kobe Walter,22,3811800
TOR,jacksan01,Andre Jackson Jr.,24,
TOR,anderky01,Kyle Anderson,33,2449421
TOR,jackstr02,Trayce Jackson-Davis,26,2406205
TOR,battlja01,Jamison Battle,25,
TOR,sheadja01,Jamal Shead,24,2296271
TOR,martial01,Alijah Martin,24,2185116
TOR,smithma02,Malachi Smith,26,
TOR,bittlna01,Nate Bittle,23,
TOR,jemistr01,Trey Jemison,26,
TOR,hepbuch01,Chucky Hepburn,23,
TOR,bradlja02,Jaden Bradley,23,
UTA,jacksja02,Jaren Jackson Jr.,27,151500000
UTA,markkla01,Lauri Markkanen,29,149474044
UTA,greenjo02,Josh Green,25,14679012
