team,season,bbref_id,player_name,years_experience,birth_date,position,height,weight,college
ATL,2025-26,alexani01,Nickeil Alexander-Walker,6,"September 2, 1998",SG,6-5,205,Virginia Tech
ATL,2025-26,bradlto01,Tony Bradley,7,"January 8, 1998",C,6-10,248,UNC
ATL,2025-26,daniedy01,Dyson Daniels,3,"March 17, 2003",SG,6-7,199,
ATL,2025-26,nfalyda01,N'Faly Dante,1,"October 19, 2001",C,6-11,230,Oregon
ATL,2025-26,dennira01,RayJ Dennis,1,"March 30, 2001",PG,6-1,180,"Boise State , Toledo , Baylor"
ATL,2025-26,gilbeke01,Keshon Gilbert,0,"June 30, 2003",SG,6-4,200,"UNLV , Iowa State"
ATL,2025-26,gueyemo02,Mouhamed Gueye,2,"November 9, 2002",PF,6-11,210,Washington State
ATL,2025-26,hieldbu01,Buddy Hield,9,"December 17, 1992",SG,6-4,220,Oklahoma
ATL,2025-26,houstca01,Caleb Houstan,3,"January 9, 2003",SF,6-8,205,Michigan
ATL,2025-26,johnsja05,Jalen Johnson,4,"December 18, 2001",SF,6-8,219,Duke
ATL,2025-26,kennalu01,Luke Kennard,8,"June 24, 1996",SG,6-5,206,Duke
ATL,2025-26,kispeco01,Corey Kispert,4,"March 3, 1999",SF,6-6,224,Gonzaga
ATL,2025-26,kolokch01,Christian Koloko,2,"June 20, 2000",C,6-11,225,Arizona
ATL,2025-26,krejcvi01,Vít Krejčí,4,"June 19, 2000",PG,6-8,195,
ATL,2025-26,kuminjo01,Jonathan Kuminga,4,"October 6, 2002",PF,6-7,225,
ATL,2025-26,landajo01,Jock Landale,4,"October 25, 1995",C,6-11,255,Saint Mary's
ATL,2025-26,mccolcj01,CJ McCollum,12,"September 19, 1991",PG,6-3,190,Lehigh
ATL,2025-26,newelas01,Asa Newell,0,"October 5, 2005",PF,6-10,220,Georgia
ATL,2025-26,okongon01,Onyeka Okongwu,5,"December 11, 2000",C,6-10,240,USC
ATL,2025-26,porzikr01,Kristaps Porziņģis,9,"August 2, 1995",C,7-2,240,
ATL,2025-26,risacza01,Zaccharie Risacher,1,"April 8, 2005",SF,6-8,200,
ATL,2025-26,toppija01,Jacob Toppin,2,"May 8, 2000",SF,6-9,200,"Rhode Island , Kentucky"
ATL,2025-26,vincega01,Gabe Vincent,6,"June 14, 1996",PG,6-2,200,UC Santa Barbara
ATL,2025-26,wallake01,Keaton Wallace,1,"February 26, 1999",PG,6-3,185,Texas-San Antonio
ATL,2025-26,youngtr01,Trae Young,7,"September 19, 1998",PG,6-2,164,Oklahoma
BOS,2025-26,bantoda01,Dalano Banton,4,"November 7, 1999",PG,6-8,203,Nebraska
BOS,2025-26,bassech01,Charles Bassey,4,"October 28, 2000",C,6-10,230,Western Kentucky
BOS,2025-26,bouchch01,Chris Boucher,8,"January 11, 1993",PF,6-8,200,"New Mexico Junior College , Northwest College , Oregon"
BOS,2025-26,brownja02,Jaylen Brown,9,"October 24, 1996",SF,6-6,223,California
BOS,2025-26,garzalu01,Luka Garza,4,"December 27, 1998",C,6-10,243,Iowa
BOS,2025-26,gonzahu01,Hugo González,0,"February 5, 2006",SF,6-6,200,
BOS,2025-26,harpero02,Ron Harper Jr.,3,"April 12, 2000",SF,6-5,233,Rutgers University
BOS,2025-26,hausesa01,Sam Hauser,4,"December 8, 1997",PF,6-7,217,"Marquette , Virginia"
BOS,2025-26,minotjo01,Josh Minott,3,"November 25, 2002",PF,6-8,205,Memphis
BOS,2025-26,pritcpa01,Payton Pritchard,5,"January 28, 1998",PG,6-1,195,Oregon
BOS,2025-26,quetane01,Neemias Queta,4,"July 13, 1999",C,7-0,248,Utah State University
BOS,2025-26,scheiba01,Baylor Scheierman,1,"September 26, 2000",SG,6-6,205,"South Dakota State , Creighton"
BOS,2025-26,shulgma01,Max Shulga,0,"June 25, 2002",SG,6-4,210,"Utah State University , VCU"
BOS,2025-26,simonan01,Anfernee Simons,7,"June 8, 1999",SG,6-3,200,
BOS,2025-26,tatumja01,Jayson Tatum,8,"March 3, 1998",PF,6-8,210,Duke
BOS,2025-26,tillmxa01,Xavier Tillman Sr.,5,"January 12, 1999",C,6-8,245,Michigan State
BOS,2025-26,tonjejo01,John Tonje,0,"April 23, 2001",SG,6-4,218,"Colorado State , Missouri , Wisconsin"
BOS,2025-26,vucevni01,Nikola Vučević,14,"October 24, 1990",C,6-9,260,USC
BOS,2025-26,walshjo01,Jordan Walsh,2,"March 3, 2004",PF,6-6,205,Arkansas
BOS,2025-26,whitede01,Derrick White,8,"July 2, 1994",SG,6-4,190,"Colorado-Colorado Springs , Colorado"
BOS,2025-26,william01,Amari Williams,0,"January 28, 2002",PF,6-11,250,"Drexel , Kentucky"
BRK,2025-26,agbajoc01,Ochai Agbaji,3,"April 20, 2000",SG,6-5,215,Kansas
BRK,2025-26,claxtni01,Nic Claxton,6,"April 17, 1999",C,6-11,215,Georgia
BRK,2025-26,clownno01,Noah Clowney,2,"July 14, 2004",PF,6-10,210,Alabama
BRK,2025-26,demineg01,Egor Dëmin,0,"March 3, 2006",PG,6-8,200,BYU
BRK,2025-26,etienty01,Tyson Etienne,1,"September 17, 1999",PG,6-0,200,Wichita State
BRK,2025-26,johnsch06,Chaney Johnson,0,"June 20, 2002",SF,6-7,220,Auburn
BRK,2025-26,liddeej01,E.J. Liddell,2,"December 18, 2000",PF,6-6,240,Ohio State
BRK,2025-26,mannte01,Terance Mann,6,"October 18, 1996",SG,6-6,215,Florida State
BRK,2025-26,martity01,Tyrese Martin,2,"March 7, 1999",SG,6-6,215,"Rhode Island , UConn"
BRK,2025-26,minotjo01,Josh Minott,3,"November 25, 2002",SF,6-8,205,Memphis
BRK,2025-26,nelsogr02,Grant Nelson,0,"March 18, 2002",PF,7-0,215,"North Dakota State University , Alabama"
BRK,2025-26,portemi01,Michael Porter Jr.,6,"June 29, 1998",SF,6-10,218,Missouri
BRK,2025-26,poweldr01,Drake Powell,0,"September 8, 2005",SG,6-5,195,UNC
BRK,2025-26,sarafbe01,Ben Saraf,0,"April 14, 2006",SG,6-6,200,
BRK,2025-26,scotttr01,Tre Scott,1,"November 25, 1996",PF,6-8,225,Cincinnati
BRK,2025-26,sharpda01,Day'Ron Sharpe,4,"November 6, 2001",C,6-10,265,UNC
BRK,2025-26,smithma02,Malachi Smith,0,"December 6, 1999",SG,6-4,205,"Wright State University , Chattanooga , Gonzaga"
BRK,2025-26,thomaca02,Cam Thomas,4,"October 13, 2001",SG,6-3,210,LSU
BRK,2025-26,traorno01,Nolan Traoré,0,"May 28, 2006",PG,6-3,185,
BRK,2025-26,willizi02,Ziaire Williams,4,"September 12, 2001",SF,6-9,185,Stanford
BRK,2025-26,wilsoja03,Jalen Wilson,2,"November 4, 2000",PF,6-6,220,Kansas
BRK,2025-26,wolfda01,Danny Wolf,0,"May 5, 2004",PF,6-11,250,"Yale , Michigan"
CHO,2025-26,ballla01,LaMelo Ball,5,"August 22, 2001",PG,6-7,180,
CHO,2025-26,bridgmi02,Miles Bridges,6,"March 21, 1998",PF,6-7,225,Michigan State
CHO,2025-26,connapa01,Pat Connaughton,10,"January 6, 1993",SG,6-5,209,Notre Dame
CHO,2025-26,diabamo01,Moussa Diabaté,3,"January 21, 2002",C,6-10,210,Michigan
CHO,2025-26,greenjo02,Josh Green,5,"November 16, 2000",SG,6-6,200,Arizona
CHO,2025-26,hallpj01,PJ Hall,1,"February 21, 2002",C,6-8,245,Clemson
CHO,2025-26,jamessi01,Sion James,0,"December 4, 2002",SG,6-5,220,"Tulane , Duke"
CHO,2025-26,kalkbry01,Ryan Kalkbrenner,0,"January 17, 2002",C,7-1,256,Creighton
CHO,2025-26,knuepko01,Kon Knueppel,0,"August 3, 2005",SF,6-6,215,Duke
CHO,2025-26,manntr01,Tre Mann,4,"February 3, 2001",PG,6-4,178,Florida
CHO,2025-26,mcneeli01,Liam McNeeley,0,"October 10, 2005",SF,6-7,210,UConn
CHO,2025-26,millebr02,Brandon Miller,2,"November 22, 2002",SF,6-7,200,Alabama
CHO,2025-26,peterdr01,Drew Peterson,2,"November 9, 1999",PF,6-8,205,"Rice University , USC"
CHO,2025-26,plumlma01,Mason Plumlee,12,"March 5, 1990",C,7-0,254,Duke
CHO,2025-26,reevean01,Antonio Reeves,1,"November 20, 2000",SG,6-5,205,"Illinois State , Kentucky"
CHO,2025-26,salauti01,Tidjane Salaün,1,"August 10, 2005",PF,6-10,207,
CHO,2025-26,sextoco01,Collin Sexton,7,"January 4, 1999",SG,6-3,190,Alabama
CHO,2025-26,simpskj01,KJ Simpson,1,"August 8, 2002",PG,6-2,189,Colorado
CHO,2025-26,tillmxa01,Xavier Tillman Sr.,5,"January 12, 1999",C,6-8,245,Michigan State
CHO,2025-26,whiteco01,Coby White,6,"February 16, 2000",SG,6-4,195,UNC
CHO,2025-26,willigr01,Grant Williams,6,"November 30, 1998",PF,6-7,236,Tennessee
CHI,2025-26,buzelma01,Matas Buzelis,1,"October 13, 2004",PF,6-8,209,
CHI,2025-26,carteje01,Jevon Carter,7,"September 14, 1995",PG,6-0,200,West Virginia
CHI,2025-26,colliza01,Zach Collins,7,"November 19, 1997",C,6-9,250,Gonzaga
CHI,2025-26,dilliro01,Rob Dillingham,1,"January 4, 2005",PG,6-2,175,Kentucky
CHI,2025-26,dosunay01,Ayo Dosunmu,4,"January 17, 2000",SG,6-4,200,Illinois
CHI,2025-26,essenno01,Noa Essengue,0,"December 18, 2006",PF,6-8,200,
CHI,2025-26,flowetr01,Trentyn Flowers,1,"March 8, 2005",SF,6-9,185,
CHI,2025-26,giddejo01,Josh Giddey,4,"October 10, 2002",PG,6-7,216,
CHI,2025-26,gueyemo01,Mouhamadou Gueye,1,"July 6, 1998",PF,6-9,210,"Monroe Community College , Stony Brook University , Pitt"
CHI,2025-26,huertke01,Kevin Huerter,7,"August 27, 1998",SF,6-6,198,Maryland
CHI,2025-26,iveyja01,Jaden Ivey,3,"February 13, 2002",SG,6-3,195,Purdue
CHI,2025-26,jonestr01,Tre Jones,5,"January 8, 2000",PG,6-1,185,Duke
CHI,2025-26,kawamyu01,Yuki Kawamura,1,"May 2, 2001",PG,5-7,159,
CHI,2025-26,mccluma01,Mac McClung,3,"January 6, 1999",SG,6-2,185,"Georgetown , Texas Tech"
CHI,2025-26,milleem01,Emanuel Miller,1,"June 19, 2000",PF,6-5,215,"Texas A&M , TCU"
CHI,2025-26,millele01,Leonard Miller,2,"November 26, 2003",SF,6-10,220,
CHI,2025-26,okorois01,Isaac Okoro,5,"January 26, 2001",SG,6-4,225,Auburn
CHI,2025-26,olbrila01,Lachlan Olbrich,0,"December 30, 2003",C,6-8,236,"University of California, Riverside"
CHI,2025-26,phillju01,Julian Phillips,2,"November 5, 2003",SF,6-6,198,Tennessee
CHI,2025-26,richani01,Nick Richards,5,"November 29, 1997",C,6-11,245,Kentucky
CHI,2025-26,sextoco01,Collin Sexton,7,"January 4, 1999",SG,6-3,190,Alabama
CHI,2025-26,simonan01,Anfernee Simons,7,"June 8, 1999",SG,6-3,200,
CHI,2025-26,smithja04,Jalen Smith,5,"March 16, 2000",C,6-8,215,Maryland
CHI,2025-26,terryda01,Dalen Terry,3,"July 12, 2002",SG,6-6,195,Arizona
CHI,2025-26,vucevni01,Nikola Vučević,14,"October 24, 1990",C,6-9,260,USC
CHI,2025-26,whiteco01,Coby White,6,"February 16, 2000",SG,6-4,195,UNC
CHI,2025-26,willipa01,Patrick Williams,5,"August 26, 2001",PF,6-6,215,Florida State
CHI,2025-26,yabusgu01,Guerschon Yabusele,3,"December 17, 1995",C,6-7,265,
CLE,2025-26,allenja01,Jarrett Allen,8,"April 21, 1998",C,6-9,243,Texas
CLE,2025-26,balllo01,Lonzo Ball,6,"October 27, 1997",PG,6-5,190,UCLA
CLE,2025-26,brownda04,Darius Brown II,0,"July 28, 1999",SG,6-2,192,"Cal State Northridge , Montana State , Utah State University"
CLE,2025-26,bryanth01,Thomas Bryant,8,"July 31, 1997",C,6-9,248,Indiana
CLE,2025-26,elliske01,Keon Ellis,3,"January 8, 2000",SG,6-4,175,"Florida SouthWestern State College , Alabama"
CLE,2025-26,enarutr01,Tristan Enaruna,0,"June 26, 2001",SF,6-7,220,"Kansas , Iowa State , Cleveland State University"
CLE,2025-26,garlada01,Darius Garland,6,"January 26, 2000",PG,6-1,192,Vanderbilt
CLE,2025-26,hardeja01,James Harden,16,"August 26, 1989",PG,6-5,220,Arizona State
CLE,2025-26,huntede01,De'Andre Hunter,6,"December 2, 1997",SF,6-7,221,Virginia
CLE,2025-26,livinch01,Chris Livingston,2,"October 15, 2003",SF,6-6,220,Kentucky
CLE,2025-26,merrisa01,Sam Merrill,5,"May 15, 1996",SG,6-4,205,Utah State University
CLE,2025-26,minixri01,Riley Minix,1,"September 22, 2000",SF,6-7,230,"Southeastern University , Morehead State University"
CLE,2025-26,mitchdo01,Donovan Mitchell,8,"September 7, 1996",SG,6-2,215,Louisville
CLE,2025-26,mobleev01,Evan Mobley,4,"June 18, 2001",PF,6-11,215,USC
