team,snapshot_date,player_name,position,age,contract_type,cap_hit,base_salary,incentives_likely,incentives_unlikely,trade_bonus_proration,guaranteed
denver-nuggets,2025-10-21,Nikola Jokic,C,31,DVET-EXT,59033114,59033114,,,,59033114
denver-nuggets,2025-10-21,Jamal Murray,PG,29,VET-EXT,50105628,50105628,,,,50105628
denver-nuggets,2025-10-21,Aaron Gordon,PF,31,VET-EXT,31978037,31978037,,1680000,,31978037
denver-nuggets,2025-10-21,Cameron Johnson,SF,30,FA,23062500,22500000,562500,3937500,,22500000
denver-nuggets,2025-10-21,Christian Braun,SG,25,RK-EXT,21551724,21551724,,,,21551724
denver-nuggets,2025-10-21,Jonas Valanciunas,C,34,S&T,10000000,10000000,,,,
denver-nuggets,2025-10-21,Zeke Nnaji,PF,26,RK-EXT,7466667,7466667,,,,7466667
denver-nuggets,2025-10-21,Julian Strawther,SF,24,RK-1ST,4826931,4826931,,,,4826931
denver-nuggets,2025-10-21,DaRon Holmes II,PF,24,RK-1ST,3372120,3372120,,,,
denver-nuggets,2025-10-21,Jalen Pickett,PG,27,RK-2ND,2406205,2406205,,,,
denver-nuggets,2025-10-21,Hunter Tyson,SF,26,RK-2ND,2406205,2406205,,,,
detroit-pistons,2026-03-11,Cade Cunningham,PG,24,DRK-EXT,46394100,46394100,,,,46394100
detroit-pistons,2026-03-11,Tobias Harris,PF,33,FA,26634146,26634146,,,,26634146
detroit-pistons,2026-03-11,Kevin Huerter,SG,27,RK-EXT,17991071,17991071,,,,17991071
detroit-pistons,2026-03-11,Duncan Robinson,SF,31,S&T,16834692,16834692,,,,16834692
detroit-pistons,2026-03-11,Isaiah Stewart,C,24,RK-EXT,15000000,15000000,,1000000,,15000000
detroit-pistons,2026-03-11,Caris LeVert,SG,31,FA,14104000,14104000,,,,14104000
detroit-pistons,2026-03-11,Ausar Thompson,SG,23,RK-1ST,8775000,8775000,,,,8775000
detroit-pistons,2026-03-11,Ron Holland II,SF,20,RK-1ST,8657280,8657280,,,,8657280
detroit-pistons,2026-03-11,Jalen Duren,C,22,RK-1ST,6483144,6483144,,,,6483144
detroit-pistons,2026-03-11,Paul Reed,C,26,FA,5335894,5335894,,,,5335894
detroit-pistons,2026-03-11,Daniss Jenkins,G,24,ROS,3809524,3809524,,,,3809524
detroit-pistons,2026-03-11,Marcus Sasser,PG,25,RK-1ST,2886720,2886720,,,,2886720
detroit-pistons,2026-03-11,Javonte Green,SG,32,FA,2296274,2874436,,,,2874436
detroit-pistons,2026-03-11,Bobi Klintman,SF,22,RK-2ND,1955377,1955377,,,,1955377
detroit-pistons,2026-03-11,Chaz Lanier,SG,24,RK-2ND,1272870,1272870,,,,1272870
golden-state-warriors,2026-07-11,De'Anthony Melton,SG,28,FA,5477000,5477000,,,,5477000
golden-state-warriors,2026-07-11,Stephen Curry,PG,38,VET-EXT,62587158,62587158,,,,62587158
golden-state-warriors,2026-07-11,Jimmy Butler,SF,37,VET-EXT,56832773,56832773,,,,56832773
golden-state-warriors,2026-07-11,Kristaps Porzingis,PF,31,VET-EXT,20000000,20000000,,,,20000000
golden-state-warriors,2026-07-11,Moses Moody,SG,24,RK-EXT,12500000,12500000,,500000,,12500000
golden-state-warriors,2026-07-11,Al Horford,C,40,FA,6822000,6822000,,,,6822000
golden-state-warriors,2026-07-11,Yaxel Lendeborg,PF,24,RK-1ST,6096240,6096240,,,,6096240
golden-state-warriors,2026-07-11,Brandin Podziemski,SG,23,RK-1ST,5679459,5679459,,,,5679459
golden-state-warriors,2026-07-11,Gui Santos,SF,24,VET-EXT,4629630,4629630,,,,4629630
golden-state-warriors,2026-07-11,Charles Bassey,C,26,FA,2449421,2845883,,,,2845883
golden-state-warriors,2026-07-11,Will Richard,G,24,RK-2ND,2150917,2150917,,,,2150917
houston-rockets,2025-06-23,Alperen Sengun,C,24,RK-EXT,35642202,35642202,,,,35642202
houston-rockets,2025-06-23,Steven Adams,C,33,VET-EXT,13000000,13000000,,,,13000000
houston-rockets,2025-06-23,Amen Thompson,PG,24,RK-1ST,12258609,12258609,,,,12258609
houston-rockets,2025-06-23,Reed Sheppard,SG,22,RK-1ST,11108880,11108880,,,,
houston-rockets,2025-06-23,Jock Landale,C,31,FA,8000000,8000000,,,,
houston-rockets,2025-06-23,Cam Whitmore,SF,22,RK-1ST,5458310,5458310,,,,5458310
houston-rockets,2025-06-23,Jeenathan Williams,SG,27,ROS,2461462,2461462,,,,
indiana-pacers,2026-07-12,Tyrese Haliburton,PG,26,DRK-EXT,48924624,48924624,,,,48924624
indiana-pacers,2026-07-12,Pascal Siakam,PF,32,FA,48924624,48924624,,,,48924624
indiana-pacers,2026-07-12,Ivica Zubac,C,29,VET-EXT,20342140,19550160,,,,19550160
indiana-pacers,2026-07-12,Andrew Nembhard,PG,27,VET-EXT,19550160,19550160,,,,19550160
indiana-pacers,2026-07-12,Obi Toppin,PF,28,FA,15000000,15000000,,480000,,15000000
indiana-pacers,2026-07-12,T.J. McConnell,PG,34,VET-EXT,11000000,11000000,,,,11000000
indiana-pacers,2026-07-12,Aaron Nesmith,SF,27,RK-EXT,11000000,11000000,,,,11000000
indiana-pacers,2026-07-12,Jarace Walker,PF,23,RK-1ST,8478542,8478542,,,,8478542
indiana-pacers,2026-07-12,Kelly Oubre Jr.,SF,31,FA,8050000,8050000,,,,8050000
indiana-pacers,2026-07-12,Ben Sheppard,SF,25,RK-1ST,5031669,5031669,,,,5031669
indiana-pacers,2026-07-12,Jay Huff,C,28,,2667944,2667944,,,,379382
indiana-pacers,2026-07-12,Quenton Jackson,G,28,ROS,2584539,2584539,,,,275000
indiana-pacers,2026-07-12,Larry Nance Jr.,PF,34,FA,2449421,3876529,,,,3876529
indiana-pacers,2026-07-12,Johnny Furphy,SG,22,RK-2ND,2296271,2296271,,,,2296271
los-angeles-clippers,2026-04-16,Kawhi Leonard,SF,35,VET-EXT,50300000,50300000,,,,50300000
los-angeles-clippers,2026-04-16,Darius Garland,PG,27,DRK-EXT,42166510,42166510,,,,42166510
los-angeles-clippers,2026-04-16,Bogdan Bogdanovic,SG,34,VET-EXT,16020000,16020000,,,,
los-angeles-clippers,2026-04-16,Derrick Jones Jr.,SF,29,FA,10476190,10476190,,,,10476190
los-angeles-clippers,2026-04-16,Brook Lopez,C,38,FA,9187500,9187500,,,,
los-angeles-clippers,2026-04-16,Isaiah Jackson,PF,25,FA,7000000,7000000,,,,7000000
los-angeles-clippers,2026-04-16,Nicolas Batum,SF,38,FA,5881680,5881680,,,,
los-angeles-clippers,2026-04-16,Kris Dunn,PG,32,S&T,5684800,5684800,,,,
los-angeles-clippers,2026-04-16,Bradley Beal,SG,33,FA,5621700,5621700,,,,5621700
los-angeles-clippers,2026-04-16,Yanic Konan Niederhauser,F,23,RK-1ST,2880960,2880960,,,,2880960
los-angeles-clippers,2026-04-16,Jordan Miller,SF,27,ROS,2497812,2497812,,,,
los-angeles-clippers,2026-04-16,Cameron Christie,SG,21,RK-2ND,2296271,2296271,,,,
los-angeles-clippers,2026-04-16,Kobe Sanders,G,24,ROS,2150917,2150917,,,,
los-angeles-lakers,2026-07-12,Austin Reaves,SG,28,FA,41240250,41240250,,,,41240250
los-angeles-lakers,2026-07-12,Collin Sexton,PG,28,FA,9366000,9366000,,,,9366000
los-angeles-lakers,2026-07-12,Kevon Looney,C,30,FA,2449421,3876529,,,,3876529
los-angeles-lakers,2026-07-12,Luka Doncic,PG,27,VET-EXT,49488300,49488300,,,,49488300
los-angeles-lakers,2026-07-12,Walker Kessler,C,25,S&T,30108821,30108821,,,,30108821
los-angeles-lakers,2026-07-12,Quentin Grimes,SG,26,FA,13953489,13953489,,,,13953489
