team,snapshot_date,deadline_date,player_name,kind,holder,season,value,note,raw_type
dallas-mavericks,2026-07-18,6/29/2027,Santi Aldama,option,club,2027-28,17007043,,CLUB 2027-28 Club Option
dallas-mavericks,2026-07-18,6/29/2027,Kyrie Irving,option,player,2027-28,42416562,,PLAYER 2027-28 Player Option
dallas-mavericks,2026-07-18,6/29/2027,Marcus Sasser,qualifying_offer,,2027-28,8157205,,RFA / QO 2027-28 Qualifying Offer
dallas-mavericks,2026-07-18,6/29/2027,Caleb Martin,option,player,2027-28,9371351,,PLAYER 2027-28 Player Option
dallas-mavericks,2026-07-18,6/29/2027,Max Christie,option,player,2027-28,8857143,,PLAYER 2027-28 Player Option
dallas-mavericks,2026-07-18,7/1/2027,Daniel Gafford,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
dallas-mavericks,2026-07-18,7/15/2027,Santi Aldama,extension_eligible,,2027-28,,,EXTENSION ELIGIBLE 2027-28 Extension Eligible
dallas-mavericks,2026-07-18,10/31/2027,Cooper Flagg,option,club,2028-29,19178146,,CLUB 2028-29 Club Option
dallas-mavericks,2026-07-18,10/31/2027,Morez Johnson Jr.,option,club,2028-29,7430640,,CLUB 2028-29 Club Option
dallas-mavericks,2026-07-18,10/31/2027,Sergio de Larrea,option,club,2028-29,3500880,,CLUB 2028-29 Club Option
dallas-mavericks,2026-07-18,7/1/2028,Cooper Flagg,extension_eligible,,2028-29,,,EXTENSION ELIGIBLE 2028-29 Extension Eligible
dallas-mavericks,2026-07-18,10/31/2028,Morez Johnson Jr.,option,club,2029-30,9466636,,CLUB 2029-30 Club Option
dallas-mavericks,2026-07-18,10/31/2028,Sergio de Larrea,option,club,2029-30,6305086,,CLUB 2029-30 Club Option
dallas-mavericks,2026-07-18,6/29/2029,Cooper Flagg,qualifying_offer,,2029-30,26849405,,RFA / QO 2029-30 Qualifying Offer
dallas-mavericks,2026-07-18,7/1/2029,Morez Johnson Jr.,extension_eligible,,2029-30,,,EXTENSION ELIGIBLE 2029-30 Extension Eligible
dallas-mavericks,2026-07-18,7/1/2029,Sergio de Larrea,extension_eligible,,2029-30,,,EXTENSION ELIGIBLE 2029-30 Extension Eligible
dallas-mavericks,2026-07-18,6/29/2030,Morez Johnson Jr.,qualifying_offer,,2030-31,28399908,,RFA / QO 2030-31 Qualifying Offer
dallas-mavericks,2026-07-18,6/29/2030,Sergio de Larrea,qualifying_offer,,2030-31,9892680,,RFA / QO 2030-31 Qualifying Offer
denver-nuggets,2025-10-21,10/31/2025,Julian Strawther,option,club,2026-27,4826931,,CLUB 2026-27 Club Option
denver-nuggets,2025-10-21,10/31/2025,DaRon Holmes II,option,club,2026-27,3372120,,CLUB 2026-27 Club Option
denver-nuggets,2025-10-21,6/29/2026,Peyton Watson,qualifying_offer,,2026-27,6534714,,RFA / QO 2026-27 Qualifying Offer
denver-nuggets,2025-10-21,6/29/2026,Jalen Pickett,option,club,2026-27,2406205,,CLUB 2026-27 Club Option
denver-nuggets,2025-10-21,6/29/2026,Hunter Tyson,option,club,2026-27,2406205,,CLUB 2026-27 Club Option
denver-nuggets,2025-10-21,6/29/2026,Jonas Valanciunas,guarantee,,2026-27,10000000,,GUARANTEED 2026-27 Guaranteed
denver-nuggets,2025-10-21,6/29/2026,Curtis Jones,qualifying_offer,,2026-27,,Two-Way,RFA / QO 2026-27 Qualifying Offer — Two-Way
denver-nuggets,2025-10-21,6/29/2026,Spencer Jones,qualifying_offer,,2026-27,,,RFA / QO 2026-27 Qualifying Offer
