id,name,title,_source_team_ids
ea5f8516-be0b-4fbd-a336-48c5fd76b1d7,Johnnie Bryant,Associate Head Coach,6
a43b8210-dc80-43d5-b043-c041a756681e,Trevor Hendry,Assistant Coach,6
2cb60229-58d3-44e3-baf8-bf40699eb835,Mike Gerrity,Assistant Coach,6
b4e3eeb4-1133-43bb-a896-537353d45249,Nate Reinking,Assistant Coach,6
3ed7cdbc-b838-4345-acdb-5d0ae9bfd1c3,Omar Cook,Assistant Coach,6
6405626e-9b31-4174-933e-26b907a55aeb,Andrew Olson,Assistant Coach,6
559f316c-76f8-4d88-9084-ba2d27f221e6,Kenny Atkinson,Head Coach,6
f171a395-bae0-40c8-8d37-a1c393a109c1,Koby Altman,Executive,6
0d9cb56c-eb92-4bc7-b679-dec93aa1949a,Jeremy Holsopple,Strength and Conditioning,7
8a442f03-3d31-4932-a5a5-e73e47f8cdcd,Darrell Armstrong,Assistant Coach,7
a557fed1-227a-4f5a-93b9-ee9e28a06b8c,Jared Dudley,Assistant Coach,7
b5761530-6edb-43ba-a662-9633f7db4ab8,Sean Sweeney,Assistant Coach,7
5e13c0b1-d6b2-4d1f-be53-d44238e434e6,God Shammgod,Assistant Coach,7
c6a3c814-11b1-4e49-a54e-5c93cf7f684a,Marko MiliÄ,Assistant Coach,7
74b1b898-6915-4647-ad34-9da163c2ae87,Alex Jensen,Assistant Coach,7
0e3d5bd7-e0f2-4540-a6cf-3fb24be26108,Nico Harrison,Executive,7
79ab9b07-eeeb-4deb-8d07-2eae8ac1f39e,Dionne Calhoun,Trainer,7
f21bc4eb-cb08-4203-ac8b-593fc5367d53,Jay Triano,Assistant Coach,7
729f0c1c-e75f-40af-944e-e5c9b256a21d,Popeye Jones,Assistant Coach,7
84a42b72-2bb0-4c21-9029-8f13852c4406,Eric Hughes,Assistant Coach,7
286cdd7d-5d4b-474f-bfb3-7fed8f895731,Josh Broghamer,Assistant Coach,7
689c4337-e4d0-4464-b898-793c6d4ebbd8,Keith Veney,Assistant Coach,7
7a5f4bf2-6442-4f8d-aa22-2d32c881404d,Frank Vogel,Assistant Coach,7
1069fc91-3e3e-4ad6-b1bf-a4d08a53ca97,Phil Handy,Assistant Coach,7
b7d9b829-6c82-4c58-9ce4-6ac96aa35e46,Mike Penberthy,Assistant Coach,7
bf38b10c-7ffe-4a90-a1ec-8257d1906de9,Jordan Sears,Assistant Coach,7
39dc9c00-96ea-411c-8f43-819fcf682d68,Dru Anthrop,Assistant Coach,7
ce5940f6-aea8-406d-8955-04552bd0af81,Jason Kidd,Head Coach,7
38fd8fe5-11f7-4dae-b894-4af475f966f9,Matt Riccardi,Executive,7
6814023a-4621-4faf-85a8-f9604daa1fde,Charles Klask,Assistant Coach,8
f2c6cfd1-4d3e-4c52-8b9b-6fa717ac8318,Ryan Bowen,Assistant Coach,8
98ea2137-4db9-45e1-a17b-04b6253d7854,Ryan Saunders,Assistant Coach,8
9c7e0941-6852-479f-90e8-1ff20f3f2f1b,Popeye Jones,Assistant Coach,8
9476c3c9-5f52-4ea5-85c6-5eab4c056629,Calvin Booth,Executive,8
cba48e24-8916-40ce-b525-b6419f348a08,Dan Shimensky,Trainer,8
4be94eae-c693-4cc9-b653-a717d7ab20d5,Ognjen Stojaković,Assistant Coach,8
c4282a9d-8bdb-42d1-97ee-c562685af374,Felipe Eichenberger,Strength and Conditioning,8
e404df2a-c47a-4500-a308-8ce6fe473b48,Michael Malone,Head Coach,8
b42b9cd1-3554-4ee3-a4de-3bfcd1b847a5,John Beckett,Assistant Coach,8
0662d291-e0f2-45df-ab29-1b598d7979ae,Elvis Valcarcel,Assistant Coach,8
c7d924d2-d068-4b88-a5f5-d0f1eb06cba5,Andrew Munson,Assistant Coach,8
23e12174-acec-4e29-9f3d-409832dd6772,Rodney Billups,Assistant Coach,8
1c966336-0227-4e22-9c82-c1c8048fb3dc,Chase Buford,Assistant Coach,8
59e17c31-0cdd-4a7e-9ebe-dbd6c357dcc2,J.J. Barea,Assistant Coach,8
10098d8a-a450-46be-9b13-649daae878b2,Ognjen StojakoviÄ,Assistant Coach,8
b03b2cb5-e532-4795-8a72-274be9b744a1,Jared Dudley,Assistant Coach,8
a72cbe95-bf1c-4755-a4e6-81e67f2c0ad0,Mike Moser,Assistant Coach,8
77567ba8-5e56-4074-b305-e670e8eea02b,David Adelman,Head Coach,8
249904da-f1f4-4dc1-9444-a610475d4859,Ben Tenzer,Executive,8
1dc15cdc-11c1-4414-8eaf-5178595365ad,Mark Bryant,Assistant Coach,9
6a148a39-d948-41ae-b190-8379adfc8c82,Executive:,Executive,9
9b9944aa-8edc-4080-9e2d-3f12b99906ec,Monty Williams,Head Coach,9
a0583554-f60d-46d1-9598-fc2b9cd2dcc2,Troy Weaver,Executive,9
a30f2074-43ee-4386-b74c-84697f39dd6c,Rachel Cutts,Trainer,9
0cb27501-e919-4115-8232-7b47a8f8364a,Dan Burke,Assistant Coach,9
16460a43-09d5-4fb5-a91c-b8de0d423e7e,Jamelle McMillan,Assistant Coach,9
d9089350-40f2-4700-86b9-1a210bf3d760,Jordan Sabourin,Strength and Conditioning,9
06e18fdd-debe-49d9-b3fe-d876618950ed,Brian Adams,Assistant Coach,9
4edd49dd-64b0-43cf-8aef-da32df4eecfa,Stephen Silas,Assistant Coach,9
c0692d17-8115-4c87-8dcf-84d8852e4698,Brian Randle,Assistant Coach,9
0dba2f5f-559e-404d-b9ef-e0b693fc1269,Sidney Lowe,Assistant Coach,9
b42f62d5-f10e-46a5-bec1-b01f7e1568fa,Luke Walton,Assistant Coach,9
35758342-e244-47c4-a4e6-ee3f280db2a6,Jerome Allen,Assistant Coach,9
f63aef72-40f2-4194-8802-5352c47345d1,Steve Scalzi,Assistant Coach,9
923be19c-cbb4-4795-bebe-4b0bafe8f3f5,Jarrett Jack,Assistant Coach,9
8ae01d62-62b0-40e7-aef6-b014f77d5b7c,Kevin Burleson,Assistant Coach,9
fac23bc0-a8a1-450d-ad3f-21d8e8f46864,Vitaly Potapenko,Assistant Coach,9
9fe44572-279f-4a99-9a8a-84396114b3d9,Fred Vinson,Assistant Coach,9
113f4b6c-4aa6-4d3c-af4f-b950465d3546,J.B. Bickerstaff,Head Coach,9
51692ab4-0bd9-4ee3-9dc0-790f6fae7b8c,Trajan Langdon,Executive,9
7bf6a3d6-e768-4e67-b1ba-d8adcfbe5e2c,Kenny Atkinson,Assistant Coach,10
a00b92f8-0047-4a7b-8e73-9adb30251bac,Drew Yoder,Trainer,10
6ae238f3-d6c4-461b-85b8-4e94173d8e5a,Hilton Armstrong,Assistant Coach for Player Development,10
db5818de-d7fe-40b3-917d-6a92daa0a429,Dejan Milojević,Assistant Coach,10
9ab49824-66d3-4fae-8649-4b6c14b4f2ef,Seth Cooper,Assistant Coach/Director of Player Development,10
e1e38486-fb53-4099-9717-29ff8371ad81,Bruce Fraser,Assistant Coach,10
e8de67f7-3a41-48b1-a492-6da79162196f,Ron Adams,Assistant Coach,10
724eeaa2-9447-401c-9f74-f3f24f215d24,Chris DeMarco,Assistant Coach,10
d8c188cf-f89d-4a74-981a-3dea2f010f72,Nicholas Kerr,Assistant Coach,10
e64fa78b-a3f0-41c3-ad0d-f1d9aac13e3e,Khalid Robinson,Assistant Coach,10
6effe63e-ab72-4e5f-ade1-6c14e4813a63,Kris Weems,Assistant Coach,10
4852eb97-4ba6-4ba9-8876-25d3210cabfc,Jacob Rubin,Assistant Coach,10
b4e3a7e2-d490-41db-8111-3087e00b07d9,Jerry Stackhouse,Assistant Coach,10
3cd41d9e-19ce-4d4b-a4d6-9f90510edd8a,Terry Stotts,Assistant Coach,10
dcd0e67e-4a07-4a71-a7e9-81f29a4c47ac,Anthony Vereen,Assistant Coach,10
743633de-3e77-4276-9a86-f324c0d79100,Steve Kerr,Head Coach,10
fdf419ca-a68c-45b5-997a-1dabd670cc3a,Mike Dunleavy,Executive,10
899c98c9-6e05-4bf4-becf-1d2c399b3b04,Tiago Splitter,Assistant Coach/Player Development,11
be003310-d90e-461d-8f93-85ef3a360f32,Jason Biles,Trainer,11
9cbb2271-c204-4fdf-a4e3-e072a4f1851d,Keith Jones,Trainer,11
cdcea813-b1d8-41b9-89d5-fae51acb8f1a,Mike Moser,Assistant Coach,11
