id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
b1c7af00-fb8b-4d1a-98b7-b596978a2ad4,10875000,10875000,,Royce O'Neale,activeRoster,1626220,1626220,SF,4
68545254-35b8-471f-ab6e-ab1481efcfa5,10516560,10516560,,Kon Knueppel,activeRoster,1642851,1642851,SF,4
0886fefe-91c3-4fde-8a09-f7f89a8bfde9,8237880,8237880,,Tidjane Salaun,activeRoster,1642275,1642275,PF,4
9b6f99e6-b17f-4fd6-a06c-8c5612f12910,8000000,8000000,,Tre Mann,activeRoster,1630544,1630544,PG,4
c687c297-99d1-4155-8e2b-69d89905f49a,5227200,5227200,,Hannes Steinbach,activeRoster,1643419,1643419,PF,4
d054da0b-b164-422a-8771-847004bf6400,4257480,4257480,,Christian Anderson,activeRoster,1643515,1643515,PG,4
4b998512-52d3-4ae0-82b5-b16f17c21840,3815861,3815861,,Pat Connaughton,restOfSeason,1626192,1626192,"SG, SF",4
e69eaa12-3396-4f85-8272-dfef09a46aa8,2902080,2902080,,Liam McNeeley,activeRoster,1642862,1642862,SF,4
7b0e9fe7-fc76-467c-a8c4-bc7d0e0b9c4e,2461462,2461462,,Moussa Diabate,restOfSeason,1631217,1631217,C,4
c9afa445-530b-4483-a9cc-50ff8181f4db,0,2449421,,Xavier Tillman,capHold,1630214,1630214,"C, PF",4
a8d81eaf-8261-4ac5-953e-f8924f6fb8a8,2411090,2411090,,Ryan Kalkbrenner,activeRoster,1641750,1641750,C,4
b4846b9c-66b7-49d2-abb6-c0170f17dcb1,2411090,2411090,,Mouhamadou Gueye,restOfSeason,1631338,1631338,"PF, SF",4
78be6650-7968-49c2-acee-6c36267fb550,2411090,2411090,,Sion James,activeRoster,1642883,1642883,SG,4
c2c6bdbf-2cd5-4dcc-833a-cfadca34c44f,0,2185116,,Antonio Reeves,capHold,1641810,1641810,SG,4
befd500a-0100-4324-a8c0-fe8c582486d9,0,0,,PJ Hall,twoWay,1641790,1641790,C,4
d1852f2b-9430-4202-964e-be68a728792b,25000000,25000000,,Josh Giddey,activeRoster,1630581,1630581,"PG, SG, PF, SF",5
