id,offensiveType,position,singleYearLEBRON,tier,_source_team_ids
627d9722-d436-4ba9-96fe-96aa661c725f,Movement Shooter,PF,-0.95,,15
d8b156db-e6b3-4369-ab3d-1d2f71fa1a72,Post Scorer,C,0.75,,15
9669aaec-f419-428f-9be0-376d3b9ae3da,Movement Shooter,SG,-0.18,,15
97421783-2237-45b2-b0cd-c6713df788a1,Primary Ball Handler,PG,0.51,,15
d574ca70-3f39-496a-9aa0-807fb530add4,Athletic Finisher,PF,-0.55,,15
f38510c0-916c-40a1-9efe-4fe55eed6277,Stretch Big,PF,-0.11,,15
4632fe09-9376-46ec-9a20-19bc2d275a8d,Roll + Cut Big,C,-2.85,,15
77309f84-a051-4c9a-8f4e-a51a5356c38b,Off Screen Shooter,SG,-1.44,,16
a36403dc-a90b-4731-89b5-a5ca984fb15f,Movement Shooter,SF,-1.59,,16
b6bfecbf-6731-4af6-8d09-893c585509d4,Shot Creator,PF,7.08,,16
f64d49d4-5022-40d9-aa0a-46f9ed4fb6cf,Shot Creator,SF,0.22,,16
eee8c4dc-1723-41c9-9402-5d6f22ad0722,Shot Creator,C,1.79,,16
13563546-4589-4eee-81e3-cf8502e15012,Versatile Big,PF,-0.45,,16
8dace47c-e337-4afe-a82a-415abc8f49a1,Stationary Shooter,SG,-0.99,,16
3984b8cb-6332-41d4-b259-cd631452097e,Primary Ball Handler,PG,-0.89,,16
1bd5340b-83bd-4857-9d37-d9affbf5cd72,,,0,,16
9479532e-7ae7-4e14-9068-0db914596f25,Stationary Shooter,PF,-0.75,,16
6029ab31-b6c9-4b89-9abd-b1445960832f,Secondary Ball Handler,SG,-0.35,,16
59a06745-aa51-43c1-87b9-b2c9d767c92a,Primary Ball Handler,SG,1.13,,17
2a12b48f-ad33-4e12-bb02-b1d6337cea3a,Movement Shooter,PF,-1.93,,17
7868908b-76fd-4bd9-888b-be78711f8ab2,Stretch Big,C,0.88,,17
41d9bde7-88ad-43a7-a09b-f1feafa98d88,Stationary Shooter,C,-1.48,,17
8212703f-0756-44cf-b364-4329e68a0e9f,,,0,,17
d8e03d58-1cb5-4253-be7f-a4930371b8ce,Roll + Cut Big,C,-0.83,,17
9e1050ff-b002-47af-b8a2-82b615efc897,Movement Shooter,SG,-0.3,,17
0a9f1873-0f40-4ecf-9b83-1b9d67d41cec,,,0,,17
00b89194-b951-422b-a369-47cf6809159c,Stretch Big,C,-0.83,,17
3c437e42-3b88-4caa-a578-a5eebf901cff,Roll + Cut Big,C,-2.7,,17
6829730b-4972-4def-81f3-54a99cadfb20,Shot Creator,SG,-0.09,,17
84a24928-f042-4bf3-87b2-a11dedbef492,Secondary Ball Handler,PG,-1.17,,17
8ee5d4c0-c70d-4bac-80ca-1ac99b5853aa,Movement Shooter,SG,-0.46,,17
89d85259-e451-404b-9553-bd790d603ab0,,,0,,17
b5e53e8a-f409-4805-89f2-381ff09a69e7,Movement Shooter,SG,-1.42,,17
d33da60c-a858-4741-8573-df4ec1fadbc9,Shot Creator,SF,-1.39,,17
a0fe9004-0fd3-49d2-b2e0-77b1dde158d5,Shot Creator,PG,-0.48,,18
1d2281f1-1aaf-4b97-a11e-459f963512bc,Shot Creator,PG,1.9,,18
a4068965-d195-4893-a865-f077ec564c27,Low Minute,SG,-0.6,,18
55b477c5-a016-4425-bb56-370d546286c9,Movement Shooter,SG,-0.02,,18
ef04f725-1735-43a8-b039-b27d4f5a8545,Stationary Shooter,SG,-2.15,,18
7c9224f8-246d-4c7e-8e43-e278637ad9f1,,,0,,18
099e1db3-7868-472d-acb3-a3f932ce6279,Shot Creator,SG,2.16,,18
1e12731f-7ecd-4f81-bc0e-e564a74638ef,Stationary Shooter,SG,-0.76,,18
07bfe82c-a184-43a5-ae05-0eaef71c1ca8,Movement Shooter,PF,0.05,,18
369ad804-50df-4320-b02b-9363b97c7038,Athletic Finisher,PF,-2.02,,18
3797f8ba-4963-4758-b06f-85e7fea30a75,,,0,,18
376773b9-9546-4b13-8c6c-299f364f3a99,Stationary Shooter,PF,1.51,,18
12dbc655-5cf9-465d-80da-52f0a6b9dde8,Roll + Cut Big,C,2.08,,18
6f2514e6-0dc5-4d90-854b-b54c07f49eb0,Stationary Shooter,SG,-2.02,,18
ab0bafaa-89da-4596-9713-d67e461cb5dd,Primary Ball Handler,SG,-2.39,,18
afcd3381-0210-4ab4-ba81-ccceaddcded7,Low Minute,SG,-0.39,,19
a7aaf327-8190-4bb7-8660-727137c75ca9,,,0,,19
73f166c6-5ef4-4e25-b71d-4a0e9eb2e25e,Stretch Big,PF,-1.5,,19
0cb61162-3609-49e2-8892-fb47f8f93005,Shot Creator,PG,1.1,,19
709e095d-845f-4aea-b2ed-9fc01708ccd2,Off Screen Shooter,SG,-3.15,,19
9581d4ed-d10d-47b9-9efe-2c2611bc8197,Roll + Cut Big,C,-1.67,,19
956ac299-ac53-437c-8b1b-e091522fc08f,,,0,,19
a6ef5b2f-7548-4361-b2b6-a7b19cf6e5d2,,,0,,19
ff86debb-a769-435c-b18c-e7033ec9a394,,,0,,19
e67da216-8a57-4abc-bf4f-ca3b7b0fd194,,,0,,19
19df8b16-edf0-490b-a8a7-da080ff97f34,Stationary Shooter,SF,-0.9,,19
